OverallQual,GrLivArea,GarageCars,TotalBsmtSF,1stFlrSF,YearBuilt,FullBath,Fireplaces,GrLivArea_OverallQual,SalePrice
7,1710,2,856,856,2003,2,0,11970,208500
6,1262,2,1262,1262,1976,2,1,7572,181500
7,1786,2,920,920,2001,2,1,12502,223500
7,1717,3,756,961,1915,1,1,12019,140000
8,2198,3,1145,1145,2000,2,1,17584,250000
5,1362,2,796,796,1993,1,0,6810,143000
8,1694,2,1686,1694,2004,2,1,13552,307000
7,2090,2,1107,1107,1973,2,2,14630,200000
7,1774,2,952,1022,1931,2,2,12418,129900
5,1077,1,991,1077,1939,1,2,5385,118000
5,1040,1,1040,1040,1965,1,0,5200,129500
9,2324,3,1175,1182,2005,3,2,20916,345000
5,912,1,912,912,1962,1,0,4560,144000
7,1494,3,1494,1494,2006,2,1,10458,279500
6,1253,1,1253,1253,1960,1,1,7518,157000
7,854,2,832,854,1929,1,0,5978,132000
6,1004,2,1004,1004,1970,1,1,6024,149000
4,1296,2,0,1296,1967,2,0,5184,90000
5,1114,2,1114,1114,2004,1,0,5570,159000
5,1339,1,1029,1339,1958,1,0,6695,139000
8,2376,3,1158,1158,2005,3,1,19008,325300
7,1108,1,637,1108,1930,1,1,7756,139400
8,1795,2,1777,1795,2002,2,1,14360,230000
5,1060,2,1040,1060,1976,1,1,5300,129900
5,1060,1,1060,1060,1968,1,1,5300,154000
8,1600,3,1566,1600,2007,2,1,12800,256300
5,900,2,900,900,1951,1,0,4500,134800
8,1704,3,1704,1704,2007,2,1,13632,306000
5,1600,1,1484,1600,1957,1,2,8000,207500
4,520,1,520,520,1927,1,0,2080,68500
4,1317,1,649,649,1920,1,0,5268,40000
5,1228,1,1228,1228,1966,1,0,6140,149350
8,1234,2,1234,1234,2007,2,0,9872,179900
5,1700,2,1398,1700,1959,1,1,8500,165500
9,1561,2,1561,1561,2005,2,1,14049,277500
8,2452,3,1117,1132,2004,3,1,19616,309000
5,1097,2,1097,1097,1994,1,0,5485,145000
5,1297,2,1297,1297,1954,1,1,6485,153000
5,1057,1,1057,1057,1953,1,0,5285,109000
4,1152,0,0,1152,1955,2,0,4608,82000
6,1324,2,1088,1324,1965,2,1,7944,160000
5,1328,1,1350,1328,1959,1,2,6640,170000
5,884,2,840,884,1983,1,0,4420,144000
5,938,1,938,938,1975,1,0,4690,130250
5,1150,1,1150,1150,1959,1,0,5750,141000
9,1752,2,1752,1752,2005,2,1,15768,319900
7,2149,2,1434,1518,2003,1,1,15043,239686
8,1656,3,1656,1656,2006,2,0,13248,249700
4,1452,0,736,736,1920,2,0,5808,113000
5,955,1,955,955,1966,1,0,4775,127000
6,1470,2,794,794,1997,2,0,8820,177000
6,1176,2,816,816,1934,1,1,7056,114500
5,816,2,816,816,1963,1,0,4080,110000
9,1842,3,1842,1842,1981,0,1,16578,385000
5,1360,2,384,1360,1955,1,1,6800,130000
6,1425,2,1425,1425,1964,2,1,8550,180500
8,1739,2,970,983,1999,2,0,13912,172500
7,1720,2,860,860,2004,2,0,12040,196500
10,2945,3,1410,1426,2006,3,1,29450,438780
5,780,1,780,780,1972,1,0,3900,124900
6,1158,2,1158,1158,2004,1,0,6948,158000
5,1111,1,530,581,1920,1,0,5555,101000
8,1370,2,1370,1370,2006,2,1,10960,202500
7,1710,2,576,902,1921,2,0,11970,140000
7,2034,2,1057,1057,1997,2,0,14238,219500
8,2473,3,1143,1143,2004,2,1,19784,317000
7,2207,2,1947,2207,1970,2,1,15449,180000
7,1479,2,1453,1479,2003,2,0,10353,226000
4,747,1,747,747,1945,1,0,2988,80000
7,2287,2,1304,1304,1953,2,1,16009,225000
7,2223,2,2223,2223,1973,2,2,15561,244000
4,845,2,845,845,1982,1,0,3380,129500
7,1718,2,832,885,1998,2,1,12026,185000
5,1086,2,1086,1086,1954,1,0,5430,144900
3,1605,1,840,840,1915,2,0,4815,107400
4,988,1,462,526,1973,1,0,3952,91000
4,952,1,952,952,1956,1,0,3808,135750
5,1285,1,672,1072,1948,1,0,6425,127000
4,1768,0,1768,1768,1968,2,0,7072,136500
5,1230,2,440,682,1910,1,0,6150,110000
6,2142,1,896,1182,1968,2,1,12852,193500
6,1337,2,1237,1337,1998,2,0,8022,153500
8,1563,3,1563,1563,2007,2,1,12504,245000
5,1065,2,1065,1065,1960,1,0,5325,126500
7,1474,2,384,804,1995,2,1,10318,168500
8,2417,2,1288,1301,1991,2,1,19336,260000
6,1560,2,684,684,2005,2,1,9360,174000
6,1224,2,612,612,2009,2,0,7344,164500
3,1526,0,1013,1013,1915,1,0,4578,85000
4,990,0,990,990,1994,1,0,3960,123600
4,1040,2,0,1040,1950,1,0,4160,109900
5,1235,2,1235,1235,1961,1,0,6175,98600
5,964,2,876,964,1921,1,0,4820,163500
6,2291,2,1214,1260,1910,2,1,13746,133900
6,1786,2,824,905,1997,2,0,10716,204750
6,1470,2,680,680,1993,2,1,8820,185000
7,1588,2,1588,1588,1999,2,0,11116,214000
4,960,1,960,960,1965,1,0,3840,94750
5,835,1,458,835,1920,1,0,4175,83000
4,1225,0,950,1225,1959,1,0,4900,128950
6,1610,2,1610,1610,1977,2,2,9660,205000
6,1732,2,741,977,1985,2,1,10392,178000
5,1535,2,0,1535,1979,2,0,7675,118964
7,1226,3,1226,1226,2009,2,0,8582,198900
7,1818,1,1040,1226,1931,1,2,12726,169500
8,1992,2,1053,1053,2003,2,1,15936,250000
4,1047,1,641,1047,1885,1,0,4188,100000
5,789,1,789,789,1948,1,0,3945,115000
5,1517,0,793,997,1919,2,0,7585,115000
6,1844,2,1844,1844,1977,2,1,11064,190000
6,1855,1,994,1216,1954,2,0,11130,136900
7,1430,2,384,774,2000,2,1,10010,180000
7,2696,3,1264,1282,2007,2,1,18872,383970
6,2259,2,1809,2259,1953,2,2,13554,217000
6,2320,1,1028,1436,1945,2,1,13920,259500
6,1458,2,729,729,1999,2,1,8748,176000
5,1092,1,1092,1092,1962,1,1,5460,139000
5,1125,2,1125,1125,2006,1,0,5625,155000
7,3222,3,1673,1699,1990,3,2,22554,320000
6,1456,2,728,728,2005,2,1,8736,163990
6,988,2,938,988,1969,1,2,5928,180000
4,1123,1,732,772,1939,1,0,4492,100000
6,1080,1,1080,1080,1958,1,0,6480,136000
6,1199,2,1199,1199,1993,2,0,7194,153900
6,1586,2,1362,1586,1979,2,1,9516,181000
6,754,0,520,520,1935,1,0,4524,84500
6,958,2,1078,958,1976,2,1,5748,128000
5,840,0,672,840,1930,1,1,4200,87000
6,1348,2,660,660,1966,1,1,8088,155000
5,1053,2,1008,1053,1958,1,0,5265,150000
7,2157,2,924,1216,1966,2,2,15099,226000
6,2054,2,992,1022,2000,2,1,12324,244000
5,1327,2,1063,1327,1959,1,0,6635,150750
8,1296,2,1267,1296,2001,2,0,10368,220000
5,1721,2,1461,1721,1968,2,1,8605,180000
7,1682,2,1304,1682,1970,2,1,11774,174000
5,1214,1,1214,1214,1967,2,1,6070,143000
7,1959,3,1907,1959,1988,3,0,13713,171000
8,1852,3,1004,1004,1999,2,2,14816,230000
6,1764,2,928,928,1997,2,0,10584,231500
4,864,0,864,864,1971,1,1,3456,115000
7,1734,2,1734,1734,2005,2,0,12138,260000
5,1385,2,910,910,1952,2,0,6925,166000
7,1501,2,1490,1501,1999,2,0,10507,204000
5,1728,2,1728,1728,1963,2,0,8640,125000
6,1709,2,970,970,2004,2,0,10254,130000
5,875,1,715,875,1931,1,0,4375,105000
7,2035,2,884,884,2001,2,1,14245,222500
7,1080,0,1080,1080,2004,1,0,7560,141000
5,1344,1,896,896,1936,1,0,6720,115000
5,969,2,969,969,1975,1,0,4845,122000
8,1710,3,1710,1710,2007,2,1,13680,372402
6,1993,2,825,1097,1971,2,1,11958,190000
6,1252,2,1602,1252,1960,1,1,7512,235000
6,1200,1,1200,1200,1923,1,0,7200,125000
6,1096,0,572,572,1924,1,0,6576,79000
5,1040,2,0,1040,1950,1,0,5200,109500
8,1968,3,774,774,2009,2,1,15744,269500
7,1947,2,991,991,2004,2,1,13629,254900
7,2462,2,1392,1392,2005,2,1,17234,320000
6,1232,2,1232,1232,1984,2,0,7392,162500
9,2668,3,1572,1572,2003,2,2,24012,412500
7,1541,2,1541,1541,2005,2,1,10787,220000
4,882,0,882,882,1956,1,0,3528,103200
6,1616,1,1149,1149,1926,2,0,9696,152000
5,1355,0,644,808,1940,2,0,6775,127500
5,1867,1,1617,1867,1955,1,3,9335,190000
8,2161,3,1582,1610,2007,1,1,17288,325624
7,1720,2,840,840,2004,2,1,12040,183500
8,1707,2,1686,1707,1981,2,1,13656,228000
5,1382,2,720,854,1941,1,0,6910,128500
6,1656,2,1080,1656,1960,1,2,9936,215000
7,1767,2,1064,1064,1987,2,1,12369,239000
6,1362,2,1362,1362,1961,1,1,8172,163000
6,1651,2,1606,1651,1986,2,1,9906,184000
6,2158,2,1202,2158,1950,2,1,12948,243000
6,2060,2,1151,1164,1988,2,1,12360,211000
5,1920,2,1052,1252,1958,2,1,9600,172500
9,2234,3,2216,2234,2008,2,1,20106,501837
5,968,2,968,968,1923,1,0,4840,100000
6,1525,2,756,769,2000,2,1,9150,177000
7,1802,1,793,901,1920,1,1,12614,200100
5,1340,1,0,1340,1957,1,1,6700,120000
7,2082,2,1362,1362,2003,2,0,14574,200000
5,1252,2,504,936,1908,1,0,6260,127000
10,3608,3,1107,1518,1892,2,2,36080,475000
7,1217,2,1188,1217,1990,2,0,8519,173000
5,1656,1,660,808,1916,2,0,8280,135000
5,1224,2,1086,1224,1979,0,2,6120,153337
8,1593,2,1593,1593,2001,1,1,12744,286000
8,2727,2,853,1549,1932,2,2,21816,315000
7,1479,2,725,725,1972,1,0,10353,184000
7,1431,2,1431,1431,1999,2,0,10017,192000
7,1709,2,970,970,2004,2,0,11963,130000
5,864,1,864,864,1972,1,0,4320,127000
6,1456,2,855,855,1976,2,1,8736,148500
7,1726,3,1726,1726,2007,2,1,12082,311872
8,3112,2,1360,1360,1918,2,1,24896,235000
6,2229,0,755,929,1912,1,0,13374,104000
8,1713,3,1713,1713,2004,2,1,13704,274900
4,1121,2,1121,1121,2003,2,0,4484,140000
6,1279,2,1196,1279,1977,2,2,7674,171500
6,1310,1,617,865,1924,2,0,7860,112000
6,848,2,848,848,2004,1,1,5088,149000
5,1284,1,720,720,1947,1,0,6420,110000
7,1442,2,1424,1442,1990,2,0,10094,180500
5,1696,1,1140,1696,1962,1,1,8480,143900
4,1100,1,1100,1100,1960,1,1,4400,141000
7,2062,2,1157,1180,1988,2,1,14434,277000
6,1092,2,1092,1092,1964,1,0,6552,145000
5,864,0,864,864,1925,1,0,4320,98000
6,1212,2,1212,1212,2009,2,0,7272,186000
7,1852,2,900,932,2009,2,1,12964,252678
5,990,2,990,990,1995,1,0,4950,156000
6,1392,1,689,689,1977,1,0,8352,161750
5,1236,1,1070,1236,1957,1,1,6180,134450
7,1436,2,1436,1436,2004,2,0,10052,210000
4,1328,1,686,810,1925,1,0,5312,107000
7,1954,2,798,1137,1939,1,2,13678,311500
7,1248,2,1248,1248,2005,2,0,8736,167240
7,1498,2,1498,1498,2006,2,0,10486,204900
6,2267,2,1010,1010,2002,2,1,13602,200000
6,1552,2,713,811,1975,2,1,9312,179900
4,864,2,864,864,1971,1,0,3456,97000
10,2392,3,2392,2392,2003,2,1,23920,386250
5,1302,1,630,630,1971,2,0,6510,112000
7,2520,3,1203,1214,1995,2,1,17640,290000
6,987,1,483,483,1970,1,0,5922,106000
5,912,1,912,912,1967,1,1,4560,125000
7,1555,2,1373,1555,2005,2,1,10885,192500
6,1194,1,1194,1194,1959,1,0,7164,148000
8,2794,3,1462,1490,1995,2,1,22352,403000
6,987,1,483,483,1972,1,1,5922,94500
5,894,1,894,894,1976,1,0,4470,128200
6,1960,2,860,860,2002,2,2,11760,216500
6,987,1,483,483,1971,1,0,5922,89500
7,1414,2,1414,1414,2004,2,0,9898,185500
7,1744,2,996,1014,1993,2,0,12208,194500
8,1694,3,1694,1694,2007,2,0,13552,318000
6,1487,1,735,798,1945,1,1,8922,113000
8,1566,2,1566,1566,2008,2,0,12528,262500
5,866,0,686,866,1945,1,0,4330,110500
5,1440,1,540,889,1900,1,0,7200,79000
6,1217,1,626,626,1980,1,1,7302,120000
7,2110,2,948,1222,1994,2,2,14770,205000
7,1872,2,1845,1872,1988,2,1,13104,241500
6,1928,1,1020,908,1910,2,0,11568,137000
6,1375,2,1367,1375,1954,1,1,8250,140000
7,1668,2,840,840,2003,2,0,11676,180000
6,2144,2,1444,1444,1958,2,2,12864,277000
3,1306,0,728,1306,1940,1,0,3918,76500
8,1625,2,1573,1625,2006,2,1,13000,235000
6,1640,2,798,798,2004,2,0,9840,173000
6,1302,1,1302,1302,1964,2,0,7812,158000
5,1314,1,1314,1314,1957,1,0,6570,145000
7,2291,2,975,1005,1999,2,1,16037,230000
6,1728,2,864,864,2003,2,0,10368,207500
7,1604,2,1604,1604,2006,2,1,11228,220000
7,1792,2,963,963,2001,2,1,12544,231500
5,882,1,0,882,1956,1,0,4410,97000
6,1382,2,1362,1382,1962,1,1,8292,176000
8,2574,3,1482,1482,2007,2,1,20592,276000
6,1212,2,506,1212,1977,1,1,7272,151000
5,1316,2,926,926,1929,1,0,6580,130000
5,764,2,680,764,1925,1,0,3820,73000
6,1422,2,1422,1422,1981,2,1,8532,175500
6,1511,2,802,802,1997,2,1,9066,185000
5,2192,1,720,1052,1939,2,1,10960,179500
5,778,1,740,778,1940,1,1,3890,120500
6,1113,1,1143,1113,1976,1,1,6678,148000
8,1939,3,1095,1095,2006,2,1,15512,266000
7,1363,2,1385,1363,1954,1,2,9541,241500
8,2270,3,1152,1164,1999,2,1,18160,290000
6,1632,1,1240,1632,1958,2,1,9792,139000
5,816,1,816,816,1982,1,0,4080,124500
7,1548,2,952,952,1925,2,0,10836,205000
7,1560,2,1560,1560,2003,2,0,10920,201000
4,864,2,864,864,1951,1,0,3456,141000
9,2121,3,2121,2121,2006,2,1,19089,415298
7,2022,2,1160,1156,1977,2,1,14154,192000
7,1982,2,807,1175,1989,2,1,13874,228500
6,1262,2,1262,1262,2006,2,0,7572,185000
7,1314,2,1314,1314,2007,2,1,9198,207500
8,1468,3,1468,1468,2008,2,1,11744,244600
6,1575,2,1575,1575,1992,2,0,9450,179200
7,1250,2,625,625,2006,2,0,8750,164700
6,1734,2,912,1085,1962,1,1,10404,159000
4,858,0,858,858,1971,1,0,3432,88000
5,900,1,882,900,1967,1,0,4500,122000
6,1396,1,698,698,1915,1,0,8376,153575
8,1919,2,1079,1079,2006,2,1,15352,233230
5,1716,0,780,936,1912,2,0,8580,135900
5,1716,1,768,1148,1949,1,1,8580,131000
7,2263,2,795,1468,1977,2,1,15841,235000
6,1644,2,1416,1644,1953,1,2,9864,167000
6,1003,2,1003,1003,1984,1,0,6018,142500
5,1558,1,910,910,1950,1,0,7790,152000
7,1950,2,975,975,1997,2,1,13650,239000
6,1743,2,702,1041,1968,1,1,10458,175000
6,1152,1,1092,1152,1950,1,1,6912,158500
5,1336,1,1165,1336,1953,1,2,6680,157000
8,2452,2,1028,1210,1998,2,1,19616,267000
7,1541,3,1541,1541,2001,2,1,10787,205000
5,894,2,894,894,1972,1,0,4470,149900
7,3493,3,1470,1675,1880,3,1,24451,295000
8,2000,3,2000,2000,2004,2,0,16000,305900
7,2243,3,700,1122,1990,2,1,15701,225000
6,1406,0,319,1035,1920,1,0,8436,89500
4,861,2,861,861,1940,1,0,3444,82500
9,1944,3,1896,1944,2003,2,3,17496,360000
6,1501,2,697,697,1993,2,1,9006,165600
6,972,1,972,972,1948,1,1,5832,132000
5,1118,2,793,793,1939,1,1,5590,119900
7,2036,2,2136,2036,1965,2,2,14252,375000
7,1641,2,728,832,1925,1,1,11487,178000
7,1432,2,716,716,2004,2,1,10024,188500
7,2353,2,845,1153,1980,2,1,16471,260000
8,1959,3,1088,1088,2006,2,1,15672,270000
7,2646,3,1347,1372,1993,2,1,18522,260000
7,1472,2,1372,1472,1980,2,2,10304,187500
9,2596,3,1249,1249,2006,3,0,23364,342643
8,2468,3,1136,1136,2004,2,1,19744,354000
7,2730,2,1502,1553,1986,2,1,19110,301000
3,1163,1,1162,1163,1955,1,0,3489,126175
7,2978,2,710,1898,1967,2,1,20846,242000
5,803,2,720,803,1941,1,0,4015,87000
8,1719,2,1719,1719,1993,1,2,13752,324000
6,1383,1,1383,1383,1960,1,0,8298,145250
6,2134,2,844,1445,1916,2,0,12804,214500
5,1192,1,596,596,1920,1,0,5960,78000
5,1728,1,1728,1728,1964,2,0,8640,119000
5,1056,1,1056,1056,1958,1,0,5280,139000
8,1629,3,3206,1629,2003,2,1,13032,284000
7,1358,2,1358,1358,2004,2,1,9506,207000
6,1638,2,943,943,1998,2,2,9828,192000
5,1786,2,1499,1619,1965,2,2,8930,228950
9,1922,3,1922,1922,2005,2,1,17298,377426
7,1536,2,1536,1536,2002,2,0,10752,214000
7,1621,2,1208,1621,1984,2,0,11347,202500
6,1215,1,1215,1215,1958,1,0,7290,155000
8,1908,2,967,993,2002,2,0,15264,202900
4,841,1,721,841,1950,1,0,3364,82000
3,1040,2,0,1040,1949,2,0,3120,87500
9,1684,2,1684,1684,2005,2,1,15156,266000
5,1112,1,536,536,1976,1,0,5560,85000
6,1577,1,972,972,1939,1,1,9462,140200
6,958,1,958,958,1960,1,0,5748,151500
6,1478,2,1478,1478,1960,2,2,8868,157500
7,1626,2,764,764,2003,2,0,11382,154000
9,2728,3,1848,1848,2005,2,2,24552,437154
9,1869,2,1869,1869,2007,2,1,16821,318061
7,1453,2,1453,1453,1986,1,1,10171,190000
5,1111,1,616,616,1941,1,0,5555,95000
6,720,2,624,720,1928,1,0,4320,105900
6,1595,1,940,1192,1940,1,2,9570,140000
6,1200,2,1200,1200,1995,2,0,7200,177500
6,1167,2,1158,1167,1992,2,0,7002,173000
5,1142,2,1142,1142,1976,1,1,5710,134000
5,1352,1,1062,1352,1958,1,0,6760,130000
8,1924,2,1086,1086,1998,2,1,15392,280000
6,912,2,888,912,1978,1,1,5472,156000
5,1505,1,883,988,1940,1,0,7525,145000
7,1922,2,0,495,2003,3,1,13454,198500
6,987,1,483,483,1972,1,0,5922,118000
6,1574,2,796,790,1976,2,1,9444,190000
5,1344,1,672,672,1920,1,0,6720,147000
6,1394,2,1394,1394,1963,1,2,8364,159000
6,1431,1,1099,1431,1962,1,1,8586,165000
5,1268,1,1268,1268,1954,1,1,6340,132000
5,1287,2,1063,1287,1959,1,1,6435,162000
6,1664,2,953,953,2000,2,1,9984,172400
4,1588,2,0,1120,1959,2,1,6352,134432
6,752,1,744,752,1984,1,0,4512,125000
5,1319,1,608,1319,1953,1,0,6595,123000
7,1928,2,847,847,2003,2,1,13496,219500
1,904,0,683,904,1922,0,0,904,61000
5,914,2,870,914,1996,1,0,4570,148000
8,2466,2,1580,1580,2004,3,1,19728,340000
9,1856,3,1856,1856,2010,1,1,16704,394432
6,1800,2,982,1007,2000,2,1,10800,179000
5,1691,1,1026,1026,1924,2,1,8455,127000
7,1301,2,1293,1301,2006,2,1,9107,187750
7,1797,2,939,939,2006,2,0,12579,213500
6,784,2,784,784,1928,1,0,4704,76000
6,1953,2,1580,1079,1992,2,2,11718,240000
8,1269,2,1256,1269,2004,2,1,10152,192000
5,1184,0,658,658,1910,1,0,5920,81000
6,1125,1,1041,1125,1976,1,1,6750,125000
7,1479,2,1468,1479,1999,2,0,10353,191000
10,2332,3,1682,1742,2007,2,1,23320,426000
5,1367,1,861,961,1900,1,0,6835,119000
6,1961,2,804,804,2001,2,1,11766,215000
5,882,1,0,882,1959,1,0,4410,106500
4,788,0,788,788,1941,1,2,3152,100000
5,1034,1,735,735,1940,1,0,5170,109000
5,1144,1,1144,1144,1956,1,0,5720,129000
5,894,2,894,894,1972,1,0,4470,123000
5,1812,1,864,876,1962,2,1,9060,169500
5,1077,1,961,1077,1920,1,0,5385,67000
7,1550,2,1092,1112,2006,2,0,10850,241000
8,1288,2,1260,1288,1996,1,2,10304,245500
7,1310,2,1310,1310,2005,2,1,9170,164990
5,672,1,672,672,1940,1,0,3360,108000
8,2263,2,1141,1165,1998,2,1,18104,258000
6,1572,2,806,806,1995,2,1,9432,168000
4,1620,2,1281,1620,1976,2,1,6480,150000
6,1639,1,1064,1166,1936,1,0,9834,115000
6,1680,1,840,840,1915,2,0,10080,177000
7,2172,3,1063,1071,2006,2,1,15204,280000
8,2078,3,1034,1050,2007,2,1,16624,339750
5,1276,1,1276,1276,1958,1,0,6380,60000
5,1056,2,1056,1056,1955,1,0,5280,145000
7,1478,2,1470,1478,2009,2,1,10346,222000
5,1028,2,1008,1028,1927,1,1,5140,115000
7,2097,3,1080,1080,1993,2,1,14679,228000
7,1340,2,1340,1340,2007,2,0,9380,181134
6,1400,2,672,672,1978,1,1,8400,149500
6,2624,3,1370,1370,1918,2,1,15744,239000
5,1134,1,756,756,1940,1,0,5670,126000
5,1056,1,1056,1056,1968,1,1,5280,142000
7,1344,4,1344,1344,1997,2,0,9408,206300
6,1602,2,1602,1602,1977,2,1,9612,215000
5,988,2,988,988,1954,1,0,4940,113000
8,2630,3,1470,1470,1998,2,1,21040,315000
6,1196,1,1196,1196,1956,1,1,7176,139000
7,1389,1,651,707,1946,1,2,9723,135000
7,1644,2,1518,1644,1989,2,1,11508,275000
4,907,1,907,907,1957,1,0,3628,109008
7,1208,2,1208,1208,2007,2,0,8456,195400
6,1412,2,1392,1412,1988,2,1,8472,175000
6,987,1,483,483,1971,1,0,5922,85400
6,1198,0,901,1088,1920,1,0,7188,79900
5,1365,2,765,765,1971,1,0,6825,122500
6,1604,2,926,926,1997,2,1,9624,181000
4,630,0,630,630,1972,1,0,2520,81000
7,1661,2,799,827,1996,2,1,11627,212000
6,1118,2,648,734,1920,1,0,6708,116000
6,904,1,884,904,1926,1,0,5424,119000
5,694,1,440,694,1913,1,1,3470,90350
6,1196,2,684,684,1920,1,0,7176,110000
10,2402,3,3094,2402,2008,2,2,24020,555000
4,1440,0,1440,1440,1955,2,0,5760,118000
5,1573,2,1078,1128,1930,2,1,7865,162900
7,1258,3,1258,1258,2006,2,1,8806,172500
7,1908,2,915,933,1994,2,1,13356,210000
6,1689,2,1436,1689,1956,1,1,10134,127500
6,1888,2,1517,1888,1966,2,1,11328,190000
7,1886,2,930,956,1998,2,1,13202,199900
6,1376,1,780,780,1937,2,1,8256,119500
3,1183,1,649,679,1948,1,0,3549,120000
6,813,1,813,813,1930,1,0,4878,110000
7,1533,2,1533,1533,1975,2,2,10731,280000
6,1756,2,872,888,1996,2,0,10536,204000
8,1590,2,768,786,2008,2,0,12720,210000
5,1728,2,1728,1728,1976,2,0,8640,188000
7,1242,2,1242,1242,1973,1,1,8694,175500
5,1344,3,624,624,1916,1,0,6720,98000
4,1663,2,1364,1663,1954,1,2,6652,256000
8,1666,1,588,833,1925,1,1,13328,161000
5,1203,1,709,979,1950,1,1,6015,110000
8,1935,2,832,832,2009,2,0,15480,263435
7,1135,2,560,575,1936,1,0,7945,155000
5,864,1,864,864,1965,1,1,4320,62383
6,1660,1,715,849,1934,1,1,9960,188700
5,1040,0,1040,1040,1978,2,0,5200,124000
7,1414,2,1375,1414,2004,2,1,9898,178740
7,1277,2,1277,1277,1970,1,1,8939,167000
5,1644,1,728,888,1942,1,2,8220,146500
8,1634,3,1626,1634,2006,2,1,13072,250000
6,1710,2,832,832,1993,2,0,10260,187000
8,1502,2,1488,1502,1985,1,0,12016,212000
7,1969,2,808,1161,1977,2,1,13783,190000
6,1072,2,547,1072,2005,1,0,6432,148000
8,1976,3,1976,1976,2006,2,1,15808,440000
8,1652,2,1494,1652,2000,2,0,13216,251000
5,970,2,970,970,1963,1,0,4850,132500
6,1493,2,1478,1493,1997,2,1,8958,208900
9,2643,3,2153,2069,2006,2,1,23787,380000
8,1718,3,1705,1718,2007,2,1,13744,297000
4,1131,2,907,1131,1937,1,0,4524,89471
9,1850,3,1833,1850,2004,2,1,16650,326000
9,1792,3,1792,1792,2003,2,1,16128,374000
7,1826,1,910,916,1915,1,1,12782,155000
6,1216,2,1216,1216,1998,2,0,7296,164000
